ID	100UNCULTURED_S7_PE_profile_family	14UNCULTURED_S8_PE_profile_family	18UNCULTURED_S12_PE_profile_family	19UNCULTURED_S14_PE_profile_family	24UNCULTURED_S3_PE_profile_family	26UNCULTURED_S4_PE_profile_family	28UNCULTURED_S6_PE_profile_family	2UNCULTURED_S1_PE_profile_family	300UNCULTURED_S9_PE_profile_family	36UNCULTURED_S10_PE_profile_family	400UNCULTURED_S11_PE_profile_family	40UNCULTURED_S15_PE_profile_family	4UNCULTURED_S2_PE_profile_family	500UNCULTURED_S13_PE_profile_family	8UNCULTURED_S5_PE_profile_family	lucaAR31_S16_PE_profile_family	lucaAR32_S17_PE_profile_family	lucaAR33_S18_PE_profile_family	lucaAR34_S19_PE_profile_family
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.0
f__Rikenellaceae	2.3571	0.0	0.01864	0.0	0.0	0.0	0.05407	0.0	0.26256	0.13352	2.66106	0.0	0.0	0.50928	0.04263	6.06648	0.0	9.24786	5.4022
f__Ruminococcaceae	20.36179	51.09783	38.41643	28.99056	38.14138	20.38306	26.15986	46.05079	24.80526	43.82905	19.21678	19.2851	32.96375	19.43844	27.35863	30.96448	13.86632	21.47145	12.90355
f__Siphoviridae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112
f__Spirochaetaceae	0.29492	0.79499	0.00182	3.41844	1.45399	2.52164	0.0	3.97901	0.00823	0.0	0.30955	13.85424	0.75782	0.02741	0.0	0.0	0.0	0.0	0.0
f__Streptococcaceae	0.0	0.0	0.0	0.0	0.0	0.00295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00656	0.02198	0.0	0.02923
f__Succinivibrionaceae	0.0	0.0	0.0	0.0	0.38462	0.0	0.0	0.09655	0.0	0.0	0.0	0.2842	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Sutterellaceae	2.62502	0.0	0.15005	0.0	0.01462	0.03509	0.0	0.07349	1.93093	0.0	3.60936	0.0	0.305	1.06531	0.05488	0.35474	1.23634	0.45154	0.46
f__Synergistaceae	0.0	0.0	0.0	0.0	0.23895	0.0	0.0	0.0	0.0	0.0	0.0	0.03749	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Veillonellaceae	0.08741	0.53917	0.0	0.1989	0.55721	0.50498	0.0	0.09081	0.0	0.0	0.0	0.18299	0.0	0.04758	0.0	0.0	6.8238	0.0	1.40713
f__Verrucomicrobiaceae	0.31078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13104	0.0	0.39042	0.0	0.0	0.02247	0.0	1.4685	0.0	1.44881	0.0
f__Viruses_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
