ID	100UNCULTURED_S7_PE_profile_genus	14UNCULTURED_S8_PE_profile_genus	18UNCULTURED_S12_PE_profile_genus	19UNCULTURED_S14_PE_profile_genus	24UNCULTURED_S3_PE_profile_genus	26UNCULTURED_S4_PE_profile_genus	28UNCULTURED_S6_PE_profile_genus	2UNCULTURED_S1_PE_profile_genus	300UNCULTURED_S9_PE_profile_genus	36UNCULTURED_S10_PE_profile_genus	400UNCULTURED_S11_PE_profile_genus	40UNCULTURED_S15_PE_profile_genus	4UNCULTURED_S2_PE_profile_genus	500UNCULTURED_S13_PE_profile_genus	8UNCULTURED_S5_PE_profile_genus	lucaAR31_S16_PE_profile_genus	lucaAR32_S17_PE_profile_genus	lucaAR33_S18_PE_profile_genus	lucaAR34_S19_PE_profile_genus
g__Desulfovibrio	1.77583	0.11578	0	0.18404	0	0.05571	1.73573	0.41894	0	0.16195	1.15347	1.75773	0.48128	0.08825	3.10444	0	0	0.14785	0
g__Dialister	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.76223	0	0
g__Dorea	0.37576	0.84676	1.7353	0.85892	1.28595	1.09282	1.85591	1.52822	0.55443	1.73034	0.24858	0.76632	0.49797	0.65851	2.82737	0.03054	0.23134	0.27943	2.22439
g__Eggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04848	0.06005	0.1431	1.06962
g__Enterococcus	0	0	0	0	0	0	0	0	0	2.83714	0	0	0	0	0	0	0	0	0
g__Enterorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01653
g__Erysipelotrichaceae_noname	0.01612	0.31346	6.34338	1.59059	0.70175	1.23208	2.45194	1.56275	0.1148	3.9276	0.00291	1.03045	1.8602	0.08858	4.6834	0.00725	0	0.00772	0.04937
g__Escherichia	0.0562	0.07163	5.47339	0.06394	0	0	1.03138	0	0	4.29807	0.07867	0	0.72531	0	0.73601	0	0.0091	0	0.00627
g__Eubacterium	1.21708	3.61835	11.4482	24.29472	9.10418	5.03648	10.88202	3.54031	1.46687	7.08082	1.2187	4.35732	2.91947	3.74027	16.15262	0.71732	21.23463	18.75285	15.97913
g__Faecalibacterium	1.42771	5.4878	8.12276	10.47321	6.63136	7.77937	12.01056	9.72757	15.3663	11.30528	5.19969	4.04323	1.02745	13.64417	12.50582	11.91797	8.29372	8.62465	7.24394
g__Flavonifractor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16461	0.03761	0	0.01673
g__Fusarium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06608	0.07553	0.06981	0.06363
g__Gordonibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02566	0.00245	0.03526	0.04201
g__Haemophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20728	0	0
g__Helicobacter	0	0	0	0	0	0	0.76606	0	0	0	0	0	0	0	0.25026	0	0	0	0
g__Holdemania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10643	0.03956	0.05165	0.04363
g__Klebsiella	0	0	0	0	0	0	0.02602	0	0	0	0	0	0	0	0.03402	0	0	0	0
g__Lachnospiraceae_noname	0.37768	0	0.16374	0.02162	0	0.04684	0.01029	0.02805	0.09674	0	0.13727	0.03253	0.16341	0.0763	0	0.46793	0.81087	0.43034	0.32246
g__Lactobacillus	0	0	0	0	0.16192	0	0	0	0.04527	0.0151	0	0.03442	0	0.00199	0	0	0	0	0
g__Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40355
g__Methanobrevibacter	7.67118	9.65477	10.25075	7.53485	7.36612	21.02869	0.2833	5.79576	7.68603	14.76538	7.31497	12.37924	35.86596	6.41687	0.37156	0	0	0.49943	0
g__Methanosphaera	0.21291	0.32642	1.7589	0.94986	0.2624	0.58498	0.01071	0.79375	0	2.02595	0.12094	3.52083	0	0.0272	0	0	0	0	0
g__Mitsuokella	0.08741	0.53917	0	0.1989	0.55721	0.50498	0	0.09081	0	0	0	0.18299	0	0.04758	0	0	0	0	0
g__Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9776	0.50695	1.00805	0.24487
